dd,inside,outside,hour,kwhdd,hourdd,solar_total,solar_total_yesterday,solar
2023-12-16T22:59:32.174334+00:00 11.75,17.52,7.32,3.46,0.61,0.29,5664.271,5662.63,1.641
2023-12-17T22:59:32.115636+00:00 12.18,17.88,6.93,3.46,0.59,0.28,5679.139,5664.271,14.868
2023-12-18T22:59:32.115005+00:00 14.75,17.45,4.59,3.12,0.43,0.21,5680.422,5679.139,1.283
2023-12-19T22:59:32.114741+00:00 12.82,16.76,6.35,5.07,0.81,0.4,5680.512,5680.422,0.09
2023-12-20T22:59:32.245404+00:00 12.8,16.95,6.36,3.6,0.57,0.28,5684.315,5680.512,3.803
2023-12-21T22:59:32.244980+00:00 8.73,17.06,10.06,3.55,0.83,0.41,5686.411,5684.315,2.096
2023-12-22T22:59:32.378006+00:00 9.12,16.99,9.71,0.85,0.17,0.09,5687.689,5686.411,1.278
2023-12-23T22:59:32.377055+00:00 8.99,15.8,9.83,0.0,0.0,0.0,5689.537,5687.689,1.848
2023-12-24T22:59:32.379804+00:00 8.04,15.5,10.69,7.42,1.9,0.92,5689.702,5689.537,0.165
2023-12-25T22:59:32.296895+00:00 7.56,17.34,11.13,2.93,0.81,0.39,5690.73,5689.702,1.028
2023-12-26T22:59:32.105031+00:00 10.55,17.66,8.41,2.92,0.57,0.28,5700.004,5690.73,9.274
2023-12-27T22:59:32.177165+00:00 11.78,17.32,7.29,3.39,0.58,0.29,5702.03,5700.004,2.026
2023-12-28T22:59:32.181119+00:00 8.91,17.29,9.9,3.19,0.73,0.36,5705.71,5702.03,3.68
2023-12-29T22:59:32.398806+00:00 9.35,17.36,9.5,2.95,0.64,0.32,5708.174,5705.71,2.464
2023-12-30T22:59:32.083768+00:00 11.07,17.29,7.94,3.44,0.64,0.31,5716.122,5708.174,7.948
2023-12-31T22:59:32.253764+00:00 10.51,17.47,8.45,3.48,0.68,0.33,5719.622,5716.122,3.5
2024-01-01T22:59:32.099926+00:00 12.75,17.04,6.41,3.08,0.5,0.24,5723.668,5719.622,4.046
2024-01-02T22:59:32.100968+00:00 8.81,17.16,9.99,4.46,1.05,0.51,5724.23,5723.668,0.562
2024-01-03T22:59:32.426184+00:00 10.03,17.32,8.88,3.26,0.68,0.33,5726.414,5724.23,2.184
2024-01-04T22:59:32.426078+00:00 11.22,17.26,7.8,2.97,0.55,0.26,5732.076,5726.414,5.662
2024-01-05T22:59:32.161582+00:00 12.42,16.99,6.71,3.6,0.6,0.29,5733.275,5732.076,1.199
2024-01-06T22:59:32.105677+00:00 15.35,17.08,4.05,4.32,0.58,0.28,5733.57,5733.275,0.295
2024-01-07T22:59:32.145920+00:00 19.88,16.4,-0.07,6.19,0.65,0.31,5734.466,5733.57,0.896
2024-01-08T22:59:32.240360+00:00 22.74,15.96,-2.67,5.82,0.54,0.26,5740.934,5734.466,6.468
2024-01-09T22:59:32.195272+00:00 24.38,15.06,-4.16,6.92,0.59,0.28,5762.241,5740.934,21.307
2024-01-10T22:59:32.399481+00:00 24.84,14.0,-4.58,1.53,0.12,0.06,5781.131,5762.241,18.89
2024-01-11T22:59:32.397929+00:00 23.57,11.64,-3.43,3.05,0.24,0.13,5800.401,5781.131,19.27
2024-01-12T22:59:32.463477+00:00 18.22,12.24,1.44,13.98,1.6,0.77,5802.378,5800.401,1.977
2024-01-13T22:59:32.074790+00:00 17.9,14.8,1.73,6.93,0.81,0.39,5802.85,5802.378,0.472
2024-01-14T22:59:32.123735+00:00 19.65,15.15,0.14,6.95,0.73,0.35,5804.196,5802.85,1.346
2024-01-15T22:59:32.120402+00:00 19.49,15.08,0.28,7.82,0.83,0.4,5808.546,5804.196,4.35
2024-01-16T22:59:32.276935+00:00 21.21,15.03,-1.28,5.7,0.56,0.27,5817.784,5808.546,9.238
2024-01-17T22:59:32.276924+00:00 23.17,14.58,-3.06,7.37,0.73,0.32,5818.977,5817.784,1.193
2024-01-18T22:59:32.352853+00:00 21.61,14.68,-1.65,6.67,0.65,0.31,5836.284,5818.977,17.307
2024-01-19T22:59:32.339230+00:00 22.06,14.78,-2.05,6.24,0.59,0.28,5857.288,5836.284,21.004
2024-01-20T22:59:32.346438+00:00 21.95,14.91,-1.95,6.43,0.61,0.29,5870.2,5857.288,12.912
2024-01-21T22:59:32.121603+00:00 17.38,15.13,2.2,7.45,0.88,0.43,5873.48,5870.2,3.28
2024-01-22T22:59:32.123911+00:00 9.47,15.82,9.39,6.1,1.33,0.64,5881.125,5873.48,7.645
2024-01-23T22:59:32.416642+00:00 11.87,16.52,7.21,4.76,0.82,0.4,5888.814,5881.125,7.689
2024-01-24T22:59:32.418612+00:00 8.15,17.07,10.59,3.62,0.9,0.44,5898.866,5888.814,10.052
2024-01-25T22:59:32.416608+00:00 12.38,17.1,6.75,3.98,0.65,0.32,5902.651,5898.866,3.785
2024-01-26T22:59:32.417808+00:00 11.4,17.4,7.64,3.1,0.55,0.27,5914.591,5902.651,11.94
2024-01-27T22:59:32.170587+00:00 17.96,16.95,1.67,3.45,0.39,0.19,5934.332,5914.591,19.741
2024-01-28T22:59:32.165195+00:00 16.72,16.65,2.8,4.85,0.6,0.29,5954.698,5934.332,20.366
2024-01-29T22:59:32.169341+00:00 13.11,16.7,6.08,4.51,0.71,0.34,5971.67,5954.698,16.972
2024-01-30T22:59:32.496868+00:00 11.21,17.08,7.81,3.99,0.73,0.36,5975.683,5971.67,4.013
2024-01-31T22:59:32.175115+00:00 12.79,17.11,6.37,3.73,0.59,0.29,5980.449,5975.683,4.766
2024-02-01T22:59:32.482695+00:00 12.74,17.01,6.42,2.98,0.47,0.23,6004.373,5980.449,23.924
2024-02-02T22:59:32.568623+00:00 13.0,17.1,6.18,5.04,0.8,0.39,6007.353,6004.373,2.98
2024-02-03T22:59:32.482757+00:00 9.26,17.46,9.58,3.48,0.77,0.38,6008.766,6007.353,1.413
2024-02-04T22:59:32.470839+00:00 8.35,17.69,10.41,3.47,0.86,0.42,6013.072,6008.766,4.306
2024-02-05T22:59:32.406280+00:00 9.78,17.42,9.11,0.0,0.0,0.0,6018.776,6013.072,5.704
2024-02-06T22:59:32.434695+00:00 9.15,17.12,9.68,6.56,1.46,0.72,6021.207,6018.776,2.431
2024-02-07T22:59:32.233647+00:00 14.42,17.63,4.89,3.07,0.44,0.21,6025.046,6021.207,3.839
2024-02-08T22:59:32.440687+00:00 13.9,16.87,5.36,5.94,0.88,0.43,6026.458,6025.046,1.412
2024-02-09T22:59:32.441719+00:00 8.2,17.46,10.55,2.96,0.74,0.36,6033.704,6026.458,7.246
